driverId,name,ssn,location,certified,wage-plan
10,Matthew Maldonado,011-11-9485,"62277 Barbara Green
Pamview, WY 67741",N,hours
11,Christine Williams,625-28-4382,"PSC 4052, Box 6310
APO AA 14832",N,hours
12,Jessica Montoya,485-35-8059,"95906 Faith Locks Suite 553
West Alisonmouth, LA 88830",N,hours
13,Charles Lane,223-99-8454,"PSC 5296, Box 2622
APO AE 22866",N,miles
14,Mrs. Michele Hernandez,766-14-5147,"4591 Ayala Manor
Williamsbury, IL 57540",Y,miles
15,Jacqueline Anderson,374-05-5821,"20973 Todd Rapid
Lake Pamela, NC 27942",Y,miles
16,Joshua Carrillo,160-27-1903,"099 Megan Ridges
Alyssashire, NE 33019",N,miles
17,Melinda Brown,600-96-3338,"8401 Leblanc Row Suite 189
West Jerrytown, TX 95129",Y,miles
18,Nancy Grimes,135-32-2368,"497 Jerry Street Apt. 270
New Carol, OR 55124",Y,miles
19,Jason Webster,329-98-5659,"2128 Sarah Garden
Thompsonstad, SD 16025",N,hours
20,Carol Davis,216-79-1992,"6602 Christian Place
Jessicaville, NM 14955",N,hours
21,Lawrence Robbins,001-16-2394,"04101 James Passage Suite 202
Jorgeview, DC 85904",Y,hours
22,Victoria Moore,304-71-3418,"56942 Kelly Drive
Williamsmouth, MA 35525",Y,miles
23,Jeremy Schmidt,627-12-5293,"882 Choi Oval
Raymondport, GA 35737",N,hours
24,Scott James,001-32-6410,"USNS Shaw
FPO AA 13552",N,hours
25,Patrick Sloan,708-55-3292,"56892 Anderson Motorway Apt. 002
Barneshaven, LA 22668",Y,hours
26,Charles Reynolds,526-86-1460,"USCGC Garza
FPO AP 08023",Y,hours
27,Kaitlin Walker,407-12-3057,"75005 Maria Stravenue Apt. 537
Trevinoside, WV 23541",N,hours
28,Ashley Collins,349-63-9951,"893 Castillo Meadow Suite 200
Weissmouth, AZ 80046",Y,miles
29,Diana Zavala,342-87-1851,"37604 Humphrey Drives Suite 221
Lake Anthonyport, MS 35710",Y,hours
30,Ricky Lambert,492-80-6613,"USS Bell
FPO AP 58291",Y,miles
31,Kristen Ford,218-27-4825,"430 Pena Keys Apt. 574
Michaelfort, MP 08860",N,hours
32,Thomas Summers,572-77-1523,"335 Kathleen Course Suite 348
East Sarahton, AL 76706",N,miles
33,Daniel Olson,636-20-4914,"58640 Ball Ridges Apt. 196
South Jenniferhaven, ND 29434",N,hours
34,Samantha Compton,479-14-4406,"14336 Duffy Haven
Jonathanfurt, OK 52504",Y,hours
35,Samuel Velez,786-30-7464,"500 Michael Islands
Lake Jenniferchester, MN 29480",N,hours
36,Kenneth Gardner,788-94-0471,"63397 Contreras Cliffs
New John, DE 43272",Y,hours
